BattSchedule_MW,SOC_percent,EnergyPriceDA_$perMWh,EnergyProfit_$,ecrsCapacity,ecrsPrice_$perMW,ecrsRev_$,rrsCapacity,rrsPrice_$perMW,rrsRev_$,non_spinCapacity,non_spinPrice_$perMW,non_spinRev_$,reg_upCapacity,reg_upPrice_$perMW,reg_upRev_$,reg_downCapacity,reg_downPrice_$perMW,reg_downRev_$,CapacityObligation
-0.01,1.00,2.39,-0.02,0.20,1.96,0.36,0.50,1.50,0.69,0.00,1.50,0.00,0.05,9.22,0.42,0.05,2.00,0.10,0.00
0.00,1.00,9.19,0.00,0.20,2.01,0.37,0.50,1.71,0.79,0.00,2.00,0.00,0.05,7.98,0.37,0.05,1.25,0.06,0.00
0.00,0.99,13.55,0.00,0.19,2.00,0.36,0.50,1.50,0.69,0.00,1.23,0.00,0.05,1.98,0.09,0.05,1.25,0.06,0.00
0.00,0.98,12.69,0.00,0.19,1.94,0.34,0.50,1.20,0.55,0.00,1.17,0.00,0.05,1.20,0.06,0.05,1.25,0.06,0.00
0.00,0.97,11.80,0.00,0.19,1.50,0.26,0.50,1.01,0.46,0.00,1.15,0.00,0.05,1.00,0.05,0.05,1.56,0.08,0.00
0.27,0.96,12.75,3.15,0.18,1.15,0.19,0.50,1.01,0.46,0.00,1.12,0.00,0.05,1.55,0.07,0.05,5.41,0.27,0.00
0.00,0.69,6.70,0.00,0.04,1.00,0.04,0.50,1.00,0.46,0.00,0.95,0.00,0.05,1.47,0.07,0.05,4.98,0.25,0.00
0.00,0.68,4.77,0.00,0.04,1.00,0.04,0.50,1.00,0.46,0.00,0.91,0.00,0.05,1.51,0.07,0.05,4.98,0.25,0.00
0.00,0.68,3.96,0.00,0.04,1.00,0.03,0.50,1.00,0.46,0.00,0.80,0.00,0.05,1.50,0.07,0.05,2.89,0.14,0.00
-0.36,0.67,1.93,-0.70,0.03,1.00,0.03,0.50,1.00,0.46,0.00,0.80,0.00,0.05,1.50,0.07,0.05,1.49,0.07,0.00
-0.01,1.00,1.60,-0.02,0.20,1.00,0.18,0.50,1.00,0.46,0.00,0.99,0.00,0.05,1.95,0.09,0.05,1.47,0.07,0.00
-0.01,1.00,1.90,-0.02,0.20,1.00,0.18,0.50,1.00,0.46,0.00,0.99,0.00,0.05,1.95,0.09,0.05,1.48,0.07,0.00
-0.01,1.00,4.29,-0.04,0.20,1.00,0.18,0.50,1.00,0.46,0.00,0.99,0.00,0.05,2.00,0.09,0.05,1.48,0.07,0.00
-0.01,1.00,10.03,-0.10,0.20,0.95,0.17,0.50,1.00,0.46,0.00,1.17,0.00,0.05,2.89,0.13,0.05,2.00,0.10,0.00
0.00,1.00,19.01,0.00,0.20,2.90,0.53,0.50,1.90,0.87,0.00,2.72,0.00,0.05,2.72,0.13,0.05,2.00,0.10,0.00
0.00,0.99,22.83,0.00,0.44,4.92,2.01,0.00,1.90,0.00,0.00,3.00,0.00,0.05,1.98,0.09,0.05,2.02,0.10,0.00
0.00,0.98,16.91,0.00,0.44,7.20,2.92,0.00,2.00,0.00,0.00,2.72,0.00,0.05,2.33,0.11,0.05,5.41,0.27,0.00
-0.04,0.97,9.68,-0.37,0.44,7.96,3.19,0.00,1.97,0.00,0.00,2.25,0.00,0.05,2.50,0.11,0.05,2.43,0.12,0.00
-0.01,1.00,9.31,-0.09,0.45,3.75,1.55,0.00,1.50,0.00,0.00,1.15,0.00,0.05,2.00,0.09,0.05,2.36,0.12,0.00
0.00,1.00,8.98,0.00,0.20,2.00,0.37,0.50,1.47,0.68,0.00,1.17,0.00,0.05,1.98,0.09,0.05,2.36,0.12,0.00
-0.02,0.99,7.67,-0.15,0.19,2.00,0.36,0.50,1.30,0.60,0.00,1.17,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
-0.01,1.00,7.71,-0.08,0.20,1.95,0.36,0.50,1.33,0.61,0.00,1.17,0.00,0.05,2.45,0.11,0.05,2.00,0.10,0.00
-0.01,1.00,7.88,-0.08,0.20,2.00,0.37,0.50,1.49,0.68,0.00,1.23,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
-0.01,1.00,8.61,-0.08,0.20,1.94,0.36,0.50,1.50,0.69,0.00,1.23,0.00,0.05,2.89,0.13,0.05,2.00,0.10,0.00
-0.01,1.00,11.59,-0.11,0.20,2.00,0.37,0.50,1.65,0.76,0.00,1.48,0.00,0.05,5.74,0.26,0.05,2.00,0.10,0.00
0.00,1.00,23.60,0.00,0.20,5.00,0.92,0.50,2.75,1.26,0.00,5.00,0.00,0.05,5.19,0.24,0.05,2.00,0.10,0.00
0.77,0.99,26.96,19.20,0.00,2.17,0.00,0.00,1.65,0.00,0.23,3.60,0.75,0.00,2.17,0.00,0.05,1.55,0.08,0.00
0.00,0.21,18.30,0.00,0.00,1.95,0.00,0.11,1.62,0.17,0.00,2.72,0.00,0.05,1.95,0.09,0.05,1.54,0.08,0.00
0.00,0.21,16.14,0.00,0.00,1.25,0.00,0.11,1.01,0.10,0.00,2.25,0.00,0.05,1.25,0.06,0.05,1.25,0.06,0.00
0.00,0.21,13.38,0.00,0.00,1.53,0.00,0.11,1.49,0.15,0.00,2.25,0.00,0.05,2.03,0.09,0.05,1.69,0.08,0.00
0.00,0.21,10.69,0.00,0.00,1.00,0.00,0.11,1.00,0.10,0.00,1.75,0.00,0.05,1.75,0.08,0.05,2.00,0.10,0.00
-0.86,0.21,8.43,-7.23,0.00,1.00,0.00,0.11,1.00,0.10,0.00,0.90,0.00,0.05,1.73,0.08,0.05,1.69,0.08,0.00
0.00,1.00,13.90,0.00,0.20,0.94,0.17,0.50,1.00,0.46,0.00,0.79,0.00,0.05,1.50,0.07,0.05,2.89,0.14,0.00
-0.02,0.99,13.21,-0.26,0.19,0.94,0.17,0.50,1.00,0.46,0.00,0.79,0.00,0.05,1.50,0.07,0.05,1.99,0.10,0.00
0.00,1.00,13.25,0.00,0.20,0.95,0.17,0.50,1.00,0.46,0.00,0.98,0.00,0.05,1.95,0.09,0.05,1.47,0.07,0.00
-0.02,0.99,12.79,-0.25,0.19,0.95,0.17,0.50,1.00,0.46,0.00,0.98,0.00,0.05,1.61,0.07,0.05,1.48,0.07,0.00
-0.01,1.00,15.51,-0.15,0.20,1.00,0.18,0.50,1.00,0.46,0.00,0.98,0.00,0.05,2.00,0.09,0.05,1.25,0.06,0.00
-0.01,1.00,17.82,-0.18,0.20,0.82,0.15,0.50,1.00,0.46,0.00,1.32,0.00,0.05,3.40,0.16,0.05,1.40,0.07,0.00
0.00,1.00,27.84,0.00,0.20,2.00,0.37,0.50,1.67,0.77,0.00,2.14,0.00,0.05,2.00,0.09,0.05,1.48,0.07,0.00
0.89,0.99,35.31,28.85,0.00,2.00,0.00,0.00,1.67,0.00,0.11,2.15,0.22,0.00,2.00,0.00,0.05,2.00,0.10,0.00
0.00,0.10,22.05,0.00,0.00,3.00,0.00,0.00,2.00,0.00,0.00,2.14,0.00,0.05,2.00,0.09,0.05,3.21,0.16,0.00
-0.00,0.10,14.70,-0.00,0.00,3.99,0.00,0.00,1.67,0.00,0.00,1.48,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
-0.03,0.10,11.91,-0.30,0.00,3.09,0.00,0.00,1.50,0.00,0.00,0.99,0.00,0.05,2.00,0.09,0.05,2.36,0.12,0.00
-0.95,0.12,10.17,-9.64,0.00,2.49,0.00,0.02,1.50,0.03,0.00,0.99,0.00,0.05,2.00,0.09,0.05,2.36,0.12,0.00
-0.01,1.00,9.94,-0.10,0.20,2.00,0.37,0.50,1.30,0.60,0.00,0.99,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
-0.01,1.00,13.12,-0.13,0.20,1.94,0.36,0.50,1.30,0.60,0.00,0.99,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
-0.01,1.00,14.23,-0.14,0.20,1.99,0.37,0.50,1.30,0.60,0.00,0.99,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
-0.01,1.00,15.28,-0.15,0.20,1.34,0.25,0.50,1.30,0.60,0.00,0.99,0.00,0.05,2.89,0.13,0.05,2.00,0.10,0.00
-0.01,1.00,18.49,-0.18,0.20,1.95,0.36,0.50,1.76,0.81,0.00,1.50,0.00,0.05,3.52,0.16,0.05,2.00,0.10,0.00
0.25,1.00,61.33,14.12,0.20,30.00,5.50,0.50,21.71,9.98,0.00,18.43,0.00,0.05,20.27,0.93,0.05,2.16,0.11,0.00
0.63,0.74,65.80,38.35,0.29,22.78,5.99,0.08,17.70,1.30,0.00,10.10,0.00,0.00,2.49,0.00,0.05,2.98,0.15,0.00
0.00,0.10,47.12,0.00,0.00,5.50,0.00,0.00,4.28,0.00,0.00,8.00,0.00,0.05,2.28,0.10,0.05,1.54,0.08,0.00
0.00,0.10,31.49,0.00,0.00,3.09,0.00,0.00,2.09,0.00,0.00,2.72,0.00,0.05,2.09,0.10,0.05,1.25,0.06,0.00
0.00,0.10,24.94,0.00,0.00,1.83,0.00,0.00,1.50,0.00,0.00,1.48,0.00,0.05,1.83,0.08,0.05,1.21,0.06,0.00
-0.54,0.10,19.59,-10.60,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.83,0.00,0.05,1.00,0.05,0.05,1.49,0.07,0.00
-0.01,0.60,18.97,-0.21,0.00,1.00,0.00,0.50,1.00,0.46,0.00,0.85,0.00,0.05,1.33,0.06,0.05,1.69,0.08,0.00
0.00,0.61,19.79,0.00,0.00,0.80,0.00,0.50,1.00,0.46,0.00,0.77,0.00,0.05,1.49,0.07,0.05,1.99,0.10,0.00
-0.01,0.60,18.03,-0.10,0.00,0.83,0.00,0.50,1.00,0.46,0.00,0.77,0.00,0.05,1.47,0.07,0.05,1.49,0.07,0.00
-0.35,0.60,17.53,-6.04,0.00,0.83,0.00,0.50,1.00,0.46,0.00,0.96,0.00,0.05,1.50,0.07,0.05,1.47,0.07,0.00
0.00,0.91,17.47,0.00,0.16,1.00,0.14,0.50,1.00,0.46,0.00,0.96,0.00,0.05,1.50,0.07,0.05,1.25,0.06,0.00
0.00,0.91,17.68,0.00,0.15,1.00,0.14,0.50,1.00,0.46,0.00,0.96,0.00,0.05,2.00,0.09,0.05,1.48,0.07,0.00
0.00,0.90,22.99,0.00,0.00,0.15,0.00,0.50,1.00,0.46,0.07,1.11,0.08,0.05,4.50,0.21,0.05,2.52,0.13,0.00
0.30,0.89,29.13,8.16,0.15,2.00,0.27,0.50,2.00,0.92,0.00,2.14,0.00,0.05,3.98,0.18,0.05,1.53,0.08,0.00
0.47,0.58,28.43,12.35,0.00,2.14,0.00,0.48,2.00,0.88,0.00,2.14,0.00,0.05,2.46,0.11,0.05,2.49,0.12,0.00
0.00,0.10,18.55,0.00,0.00,4.95,0.00,0.00,2.53,0.00,0.00,2.14,0.00,0.05,3.00,0.14,0.05,5.97,0.30,0.00
0.00,0.10,13.78,0.00,0.00,3.99,0.00,0.00,1.71,0.00,0.00,2.00,0.00,0.05,2.04,0.09,0.05,2.00,0.10,0.00
0.00,0.10,11.52,0.00,0.00,2.49,0.00,0.00,1.50,0.00,0.00,1.11,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
-0.03,0.10,5.96,-0.15,0.00,2.00,0.00,0.00,1.50,0.00,0.00,1.11,0.00,0.05,2.00,0.09,0.05,2.36,0.12,0.00
-0.95,0.12,4.41,-4.18,0.00,1.38,0.00,0.02,1.30,0.03,0.00,1.11,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
-0.01,1.00,5.05,-0.05,0.20,1.25,0.23,0.50,1.25,0.57,0.00,1.12,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
-0.01,1.00,6.37,-0.06,0.20,1.33,0.24,0.50,1.30,0.60,0.00,1.15,0.00,0.05,1.98,0.09,0.05,2.36,0.12,0.00
-0.01,1.00,12.28,-0.12,0.20,1.15,0.21,0.50,1.15,0.53,0.00,1.15,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
-0.01,1.00,19.45,-0.19,0.20,1.50,0.28,0.50,1.50,0.69,0.00,2.00,0.00,0.05,4.98,0.23,0.05,2.24,0.11,0.00
0.25,1.00,52.94,12.19,0.20,20.53,3.77,0.50,15.91,7.31,0.00,11.36,0.00,0.05,16.43,0.76,0.05,3.19,0.16,0.00
0.63,0.74,46.65,27.03,0.32,11.99,3.52,0.00,5.66,0.00,0.00,3.00,0.00,0.05,5.99,0.28,0.05,2.49,0.12,0.00
0.00,0.10,43.30,0.10,0.00,3.09,0.00,0.00,2.09,0.01,0.00,2.72,0.00,0.05,2.42,0.11,0.05,1.54,0.08,0.00
0.00,0.10,34.52,0.00,0.00,2.65,0.00,0.00,1.65,0.00,0.00,2.72,0.00,0.05,1.98,0.09,0.05,1.25,0.06,0.00
0.00,0.10,26.49,0.00,0.00,2.50,0.00,0.00,1.50,0.00,0.00,2.00,0.00,0.05,2.30,0.11,0.05,1.25,0.06,0.00
-0.55,0.10,20.80,-11.49,0.00,0.84,0.00,0.00,1.00,0.00,0.00,0.94,0.00,0.05,1.33,0.06,0.05,1.69,0.08,0.00
0.00,0.61,20.70,0.00,0.01,1.00,0.00,0.50,1.00,0.46,0.00,0.89,0.00,0.05,1.51,0.07,0.05,1.71,0.09,0.00
0.00,0.61,20.67,0.00,0.00,0.83,0.00,0.50,1.00,0.46,0.00,0.25,0.00,0.05,1.49,0.07,0.05,1.51,0.08,0.00
0.00,0.60,20.22,0.00,0.00,0.83,0.00,0.50,1.00,0.46,0.00,0.25,0.00,0.05,1.47,0.07,0.05,1.25,0.06,0.00
0.00,0.60,18.97,0.00,0.00,1.00,0.00,0.49,1.00,0.46,0.00,0.94,0.00,0.05,1.50,0.07,0.05,1.25,0.06,0.00
-0.03,0.59,18.03,-0.50,0.00,1.00,0.00,0.49,1.00,0.45,0.00,0.94,0.00,0.05,1.50,0.07,0.05,1.25,0.06,0.00
0.00,0.61,17.81,0.00,0.01,1.00,0.00,0.50,1.00,0.46,0.00,0.94,0.00,0.05,2.00,0.09,0.05,1.48,0.07,0.00
0.00,0.61,20.45,0.00,0.00,0.15,0.00,0.50,1.00,0.46,0.00,0.99,0.00,0.05,2.89,0.13,0.05,1.57,0.08,0.00
0.02,0.60,26.95,0.43,0.00,2.00,0.00,0.50,2.00,0.92,0.00,1.23,0.00,0.05,2.89,0.13,0.05,2.00,0.10,0.00
0.47,0.58,25.87,11.24,0.00,2.00,0.00,0.48,1.97,0.87,0.00,1.25,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
0.00,0.10,20.46,0.00,0.00,4.81,0.00,0.00,2.66,0.00,0.00,1.48,0.00,0.05,2.99,0.14,0.05,5.41,0.27,0.00
0.00,0.10,14.03,0.00,0.00,3.96,0.00,0.00,2.00,0.00,0.00,1.45,0.00,0.05,2.53,0.12,0.05,2.00,0.10,0.00
0.00,0.10,12.53,0.00,0.00,2.04,0.00,0.00,1.95,0.00,0.00,1.04,0.00,0.05,2.45,0.11,0.05,2.36,0.12,0.00
-0.00,0.10,7.23,-0.00,0.00,1.80,0.00,0.00,1.65,0.00,0.00,1.00,0.00,0.05,2.00,0.09,0.05,2.36,0.12,0.00
-0.95,0.10,4.15,-3.93,0.00,1.49,0.00,0.00,1.49,0.00,0.00,0.99,0.00,0.05,2.00,0.09,0.05,2.36,0.12,0.00
-0.03,0.98,4.03,-0.14,0.19,1.13,0.20,0.50,1.13,0.52,0.00,0.99,0.00,0.05,2.61,0.12,0.05,2.00,0.10,0.00
-0.01,1.00,3.89,-0.04,0.20,1.38,0.25,0.50,1.38,0.63,0.00,1.00,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
-0.01,1.00,4.29,-0.04,0.20,1.01,0.19,0.50,1.01,0.46,0.00,1.00,0.00,0.05,2.45,0.11,0.05,2.00,0.10,0.00
-0.01,1.00,8.83,-0.09,0.20,1.00,0.18,0.50,1.01,0.46,0.00,1.23,0.00,0.05,5.19,0.24,0.05,2.00,0.10,0.00
0.02,1.00,18.94,0.35,0.20,1.00,0.18,0.50,1.65,0.76,0.00,1.50,0.00,0.05,7.98,0.37,0.05,2.00,0.10,0.00
0.36,0.97,20.42,6.71,0.00,0.83,0.00,0.50,1.65,0.76,0.09,1.48,0.13,0.05,2.17,0.10,0.05,1.98,0.10,0.00
0.00,0.61,18.38,0.00,0.00,0.23,0.00,0.50,1.38,0.63,0.00,1.23,0.00,0.05,1.49,0.07,0.05,1.54,0.08,0.00
0.00,0.60,17.15,0.00,0.00,0.24,0.00,0.50,1.01,0.46,0.00,1.23,0.00,0.05,1.34,0.06,0.05,1.25,0.06,0.00
0.00,0.60,15.53,0.00,0.00,0.83,0.00,0.49,1.01,0.46,0.00,1.04,0.00,0.05,1.34,0.06,0.05,1.69,0.08,0.00
0.00,0.59,11.54,0.00,0.00,1.00,0.00,0.49,1.00,0.45,0.00,0.85,0.00,0.05,1.47,0.07,0.05,2.00,0.10,0.00
0.00,0.59,9.15,0.00,0.00,1.00,0.00,0.48,1.00,0.45,0.00,0.83,0.00,0.05,1.33,0.06,0.05,1.69,0.08,0.00
0.00,0.58,6.36,0.00,0.00,0.83,0.00,0.48,1.00,0.44,0.00,0.25,0.00,0.05,1.40,0.06,0.05,2.00,0.10,0.00
-0.03,0.58,4.28,-0.14,0.00,0.99,0.00,0.48,1.00,0.44,0.00,0.25,0.00,0.05,1.47,0.07,0.05,2.00,0.10,0.00
-0.44,0.60,3.79,-1.66,0.00,0.99,0.00,0.50,1.00,0.46,0.00,0.92,0.00,0.05,1.50,0.07,0.05,1.47,0.07,0.00
-0.01,1.00,3.44,-0.03,0.20,1.00,0.18,0.50,1.00,0.46,0.00,0.92,0.00,0.05,1.50,0.07,0.05,1.48,0.07,0.00
-0.01,1.00,8.02,-0.08,0.20,1.00,0.18,0.50,1.00,0.46,0.00,0.85,0.00,0.05,1.95,0.09,0.05,1.48,0.07,0.00
-0.01,1.00,16.82,-0.13,0.00,0.15,0.00,0.50,1.00,0.46,0.10,0.97,0.09,0.05,2.49,0.11,0.05,1.57,0.08,0.00
0.00,1.00,23.05,0.00,0.20,2.00,0.37,0.50,1.50,0.69,0.00,1.17,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
0.24,0.99,26.90,6.01,0.19,2.00,0.36,0.50,1.97,0.91,0.00,1.17,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
0.63,0.74,26.37,15.30,0.32,4.33,1.27,0.00,2.00,0.00,0.00,1.25,0.00,0.05,2.00,0.09,0.05,6.00,0.30,0.00
0.00,0.10,16.74,0.00,0.00,2.68,0.00,0.00,1.67,0.00,0.00,1.15,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
0.00,0.10,14.11,0.00,0.00,2.00,0.00,0.00,1.50,0.00,0.00,0.99,0.00,0.05,2.00,0.09,0.05,2.36,0.12,0.00
0.00,0.10,12.09,0.00,0.00,1.47,0.00,0.00,1.47,0.00,0.00,0.99,0.00,0.05,1.98,0.09,0.05,2.00,0.10,0.00
-0.55,0.10,8.06,-4.40,0.00,1.25,0.00,0.00,1.25,0.00,0.00,0.98,0.00,0.05,1.98,0.09,0.05,2.00,0.10,0.00
0.00,0.61,7.72,0.00,0.00,1.01,0.00,0.50,1.01,0.46,0.00,0.98,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
-0.44,0.60,6.85,-3.00,0.00,1.15,0.00,0.50,1.15,0.53,0.00,0.99,0.00,0.05,1.98,0.09,0.05,2.00,0.10,0.00
-0.01,1.00,8.47,-0.08,0.20,1.00,0.18,0.50,1.01,0.46,0.00,0.99,0.00,0.05,2.01,0.09,0.05,2.00,0.10,0.00
-0.01,1.00,17.55,-0.17,0.20,1.00,0.18,0.50,1.01,0.46,0.00,1.01,0.00,0.05,6.00,0.28,0.05,2.24,0.11,0.00
0.00,1.00,35.67,0.00,0.20,7.63,1.40,0.50,6.63,3.05,0.00,2.14,0.00,0.05,12.63,0.58,0.05,2.66,0.13,0.00
0.89,0.99,45.29,37.00,0.11,3.09,0.32,0.00,2.35,0.00,0.00,1.96,0.00,0.00,2.49,0.00,0.05,2.49,0.12,0.00
0.00,0.10,37.22,0.00,0.00,2.00,0.00,0.00,1.67,0.00,0.00,2.14,0.00,0.05,2.00,0.09,0.05,1.54,0.08,0.00
0.00,0.10,30.83,0.00,0.00,1.51,0.00,0.00,1.50,0.00,0.00,1.96,0.00,0.05,1.83,0.08,0.05,1.25,0.06,0.00
0.00,0.10,26.26,0.00,0.00,0.83,0.00,0.00,1.01,0.00,0.00,1.15,0.00,0.05,1.55,0.07,0.05,1.25,0.06,0.00
-0.00,0.10,22.83,-0.00,0.00,0.84,0.00,0.00,1.00,0.00,0.00,0.82,0.00,0.05,1.47,0.07,0.05,1.49,0.07,0.00
0.00,0.10,22.26,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.77,0.00,0.05,1.51,0.07,0.05,1.69,0.08,0.00
-0.00,0.10,14.97,-0.00,0.00,0.80,0.00,0.00,0.91,0.00,0.00,0.30,0.00,0.05,1.41,0.06,0.05,2.00,0.10,0.00
-0.00,0.10,13.07,-0.00,0.00,0.80,0.00,0.00,0.90,0.00,0.00,0.30,0.00,0.05,1.40,0.06,0.05,1.49,0.07,0.00
-0.95,0.10,9.81,-9.29,0.00,0.83,0.00,0.00,0.91,0.00,0.00,0.85,0.00,0.05,1.45,0.07,0.05,1.47,0.07,0.00
-0.03,0.98,10.84,-0.38,0.19,0.91,0.16,0.50,0.91,0.42,0.00,0.85,0.00,0.05,1.46,0.07,0.05,1.25,0.06,0.00
0.00,1.00,14.93,0.00,0.20,0.96,0.18,0.50,0.96,0.44,0.00,0.83,0.00,0.05,2.49,0.11,0.05,2.00,0.10,0.00
0.00,0.99,16.28,0.00,0.00,0.15,0.00,0.50,1.00,0.46,0.10,0.95,0.09,0.05,2.51,0.12,0.05,2.00,0.10,0.00
0.00,0.98,20.61,0.00,0.19,1.50,0.26,0.50,1.50,0.69,0.00,1.23,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
0.87,0.97,26.49,21.24,0.08,2.00,0.14,0.00,1.50,0.00,0.00,1.23,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
0.00,0.10,20.07,0.00,0.00,2.95,0.00,0.00,1.53,0.00,0.00,1.25,0.00,0.05,2.00,0.09,0.05,2.48,0.12,0.00
0.00,0.10,17.37,0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,1.25,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
0.00,0.10,13.85,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.04,0.00,0.05,2.00,0.09,0.05,2.36,0.12,0.00
0.00,0.10,10.84,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.05,1.98,0.09,0.05,2.00,0.10,0.00
-0.00,0.10,8.18,-0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.97,0.00,0.05,2.71,0.12,0.05,2.00,0.10,0.00
-0.03,0.10,5.79,-0.15,0.00,0.96,0.00,0.00,0.96,0.00,0.00,0.97,0.00,0.05,3.25,0.15,0.05,2.00,0.10,0.00
0.00,0.12,5.00,0.00,0.00,1.00,0.00,0.02,1.00,0.02,0.00,1.00,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
-0.95,0.12,4.19,-3.97,0.00,0.90,0.00,0.02,0.90,0.02,0.00,1.00,0.00,0.05,2.98,0.14,0.05,2.00,0.10,0.00
-0.01,1.00,4.46,-0.04,0.20,1.00,0.18,0.50,1.00,0.46,0.00,1.15,0.00,0.05,4.60,0.21,0.05,2.00,0.10,0.00
-0.01,1.00,19.72,-0.19,0.20,1.29,0.24,0.50,1.01,0.46,0.00,1.39,0.00,0.05,3.49,0.16,0.05,1.55,0.08,0.00
0.00,1.00,24.58,0.00,0.20,1.00,0.18,0.50,1.00,0.46,0.00,1.23,0.00,0.05,2.00,0.09,0.05,1.55,0.08,0.00
-0.02,0.99,22.28,-0.39,0.00,0.23,0.00,0.50,0.89,0.41,0.10,1.23,0.11,0.05,1.52,0.07,0.05,1.54,0.08,0.00
-0.01,1.00,23.73,-0.23,0.20,0.80,0.15,0.50,0.81,0.37,0.00,1.15,0.00,0.05,1.32,0.06,0.05,1.25,0.06,0.00
0.00,1.00,29.12,0.00,0.20,0.84,0.15,0.50,0.84,0.39,0.00,0.96,0.00,0.05,1.78,0.08,0.05,1.57,0.08,0.00
-0.02,0.99,27.60,-0.54,0.19,0.80,0.14,0.50,0.80,0.37,0.00,0.82,0.00,0.05,1.78,0.08,0.05,1.69,0.08,0.00
-0.01,1.00,28.29,-0.28,0.20,0.80,0.15,0.50,0.80,0.37,0.00,0.80,0.00,0.05,1.51,0.07,0.05,1.53,0.08,0.00
-0.01,1.00,33.33,-0.33,0.20,0.80,0.15,0.50,1.00,0.46,0.00,0.40,0.00,0.05,1.95,0.09,0.05,2.00,0.10,0.00
-0.01,1.00,36.29,-0.36,0.20,0.80,0.15,0.50,0.91,0.42,0.00,0.40,0.00,0.05,1.95,0.09,0.05,1.49,0.07,0.00
-0.01,1.00,46.94,-0.46,0.20,0.83,0.15,0.50,0.98,0.45,0.00,1.36,0.00,0.05,2.27,0.10,0.05,1.47,0.07,0.00
0.00,1.00,62.07,0.00,0.20,0.94,0.17,0.50,1.00,0.46,0.00,1.35,0.00,0.05,1.50,0.07,0.05,1.25,0.06,0.00
0.00,0.99,65.92,0.00,0.00,0.03,0.00,0.50,1.00,0.46,0.10,2.72,0.24,0.05,2.71,0.12,0.05,1.49,0.07,0.00
-0.03,0.98,60.85,-1.52,0.00,0.03,0.00,0.50,1.00,0.46,0.10,2.72,0.24,0.05,2.49,0.11,0.05,2.00,0.10,0.00
-0.01,1.00,72.35,-0.56,0.00,2.99,0.00,0.50,1.99,0.91,0.10,6.66,0.61,0.05,3.98,0.18,0.05,2.00,0.10,0.00
0.00,1.00,83.58,0.00,0.00,3.38,0.00,0.00,2.38,0.00,0.22,13.20,2.73,0.05,2.71,0.12,0.05,4.87,0.24,0.00
0.00,1.00,84.00,0.00,0.45,14.00,5.76,0.00,6.56,0.00,0.00,14.20,0.00,0.05,6.89,0.32,0.05,5.68,0.28,0.00
0.00,0.99,77.66,0.00,0.44,13.53,5.51,0.00,2.99,0.00,0.00,13.20,0.00,0.05,3.98,0.18,0.05,2.00,0.10,0.00
0.00,0.98,73.83,0.00,0.19,2.50,0.43,0.50,1.50,0.69,0.00,2.00,0.00,0.05,3.48,0.16,0.05,3.07,0.15,0.00
0.00,0.97,69.25,0.00,0.18,1.01,0.17,0.50,1.01,0.46,0.00,1.60,0.00,0.05,2.99,0.14,0.05,2.00,0.10,0.00
0.00,0.96,69.23,0.00,0.18,1.00,0.16,0.50,1.00,0.46,0.00,1.50,0.00,0.05,3.21,0.15,0.05,2.00,0.10,0.00
0.00,0.95,62.17,0.00,0.18,1.00,0.16,0.50,1.00,0.46,0.00,1.50,0.00,0.05,2.98,0.14,0.05,2.00,0.10,0.00
-0.07,0.94,58.40,-4.17,0.17,1.00,0.16,0.50,1.00,0.46,0.00,1.50,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
-0.01,1.00,58.87,-0.58,0.20,1.00,0.18,0.50,1.00,0.46,0.00,1.50,0.00,0.05,2.51,0.12,0.05,2.00,0.10,0.00
-0.01,1.00,66.41,-0.65,0.20,2.62,0.48,0.50,1.65,0.76,0.00,2.72,0.00,0.05,4.63,0.21,0.05,2.65,0.13,0.00
0.00,1.00,100.35,0.00,0.45,13.35,5.52,0.00,1.97,0.00,0.00,13.20,0.00,0.05,13.44,0.62,0.05,4.22,0.21,0.00
