BattSchedule_MW,SOC_percent,EnergyPriceDA_AUDperMWh,EnergyProfit_AUD,L1SCapacity,L1SPrice_AUDperMW,L1SRev_AUD,R6SCapacity,R6SPrice_AUDperMW,R6SRev_AUD,R1SCapacity,R1SPrice_AUDperMW,R1SRev_AUD,R60SCapacity,R60SPrice_AUDperMW,R60SRev_AUD,L60SCapacity,L60SPrice_AUDperMW,L60SRev_AUD,RREGCapacity,RREGPrice_AUDperMW,RREGRev_AUD,LREGCapacity,LREGPrice_AUDperMW,LREGRev_AUD,R5MCapacity,R5MPrice_AUDperMW,R5MRev_AUD,L6SCapacity,L6SPrice_AUDperMW,L6SRev_AUD,CapacityObligation
-0.14,0.10,-85.29,11.63,0.00,0.00,0.00,0.15,0.38,0.05,0.00,0.00,0.00,0.35,0.39,0.13,0.50,6.86,3.43,0.50,4.85,2.23,0.36,4.99,1.82,0.00,0.38,0.00,0.00,1.64,0.00,0.00
0.00,0.23,-84.67,-0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.31,0.38,0.11,0.50,4.48,2.24,0.50,8.03,3.70,0.50,4.83,2.41,0.19,0.38,0.07,0.00,0.42,0.00,0.00
-0.87,0.21,-97.26,84.20,0.00,0.00,0.00,0.50,0.38,0.18,0.00,0.00,0.00,0.00,0.39,0.00,0.13,14.05,1.89,0.50,4.94,2.28,0.00,12.02,0.00,0.00,0.38,0.00,0.00,4.44,0.00,0.00
-0.00,1.00,-61.12,0.20,0.00,0.00,0.00,0.00,0.37,0.00,0.00,0.00,0.00,0.50,0.38,0.18,0.50,11.73,5.86,0.50,5.78,2.67,0.50,9.03,4.49,0.00,0.33,0.00,0.00,4.06,0.00,0.00
-0.03,1.00,-46.46,1.44,0.00,0.00,0.00,0.00,0.37,0.00,0.00,0.00,0.00,-0.00,0.38,-0.00,0.50,6.43,3.21,0.50,10.61,4.89,0.47,4.72,2.21,0.50,0.34,0.16,0.00,2.03,0.00,0.00
0.00,1.00,2.25,0.00,0.00,0.00,0.00,0.07,0.39,0.03,0.00,0.00,0.00,0.43,0.39,0.15,0.50,4.13,2.06,0.50,11.28,5.20,0.50,4.08,2.04,0.00,0.34,0.00,-0.00,1.14,-0.00,0.00
0.00,1.00,10.29,0.00,0.00,0.00,0.00,0.31,0.39,0.11,0.00,0.00,0.00,0.00,0.39,0.00,0.50,2.24,1.12,0.50,10.76,4.96,0.50,3.70,1.85,0.19,0.38,0.07,-0.00,0.37,-0.00,0.00
0.00,1.00,39.42,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,-0.00,0.41,-0.00,0.00,0.25,0.00,0.50,11.09,5.11,0.50,1.43,0.72,0.50,0.38,0.18,0.00,0.07,0.00,0.00
0.00,0.95,39.62,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,-0.00,0.39,-0.00,0.00,0.25,0.00,0.50,3.73,1.72,0.50,4.76,2.38,0.50,0.39,0.18,0.00,0.07,0.00,0.00
0.00,0.90,54.65,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,-0.00,0.39,-0.00,0.00,0.19,0.00,0.50,3.40,1.57,0.50,3.88,1.94,0.50,0.38,0.18,0.00,0.03,0.00,0.00
0.00,0.85,55.59,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.00,0.00,0.00,-0.00,0.39,-0.00,0.00,0.19,0.00,0.50,2.77,1.28,0.50,4.54,2.27,0.50,0.38,0.18,0.00,0.07,0.00,0.00
0.00,0.80,50.57,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,-0.00,0.32,-0.00,0.00,0.10,0.00,0.50,2.07,0.95,0.50,3.08,1.54,0.50,0.38,0.18,0.00,0.03,0.00,0.00
0.00,0.75,43.28,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,-0.00,0.36,-0.00,0.00,0.25,0.00,0.50,2.91,1.34,0.50,3.61,1.80,0.50,0.38,0.18,0.00,0.15,0.00,0.00
0.00,0.69,52.03,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,-0.00,0.34,-0.00,0.00,0.36,0.00,0.50,1.75,0.81,0.50,1.27,0.63,0.50,0.38,0.18,0.00,0.11,0.00,0.00
0.00,0.64,51.18,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.00,0.00,0.00,-0.00,0.39,-0.00,0.00,0.40,0.00,0.50,5.07,2.34,0.50,2.36,1.18,0.50,0.38,0.18,0.00,0.36,0.00,0.00
0.00,0.59,48.99,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.00,0.00,-0.00,0.40,-0.00,0.00,0.41,0.00,0.50,4.75,2.19,0.50,1.78,0.89,0.50,0.38,0.18,0.50,0.40,0.20,0.00
0.00,0.55,46.53,0.00,0.00,0.00,0.00,0.02,0.41,0.01,0.00,0.00,0.00,0.00,0.39,0.00,-0.00,0.65,-0.00,0.50,5.87,2.70,0.50,3.12,1.56,0.48,0.38,0.17,0.50,0.40,0.20,0.00
0.00,0.50,44.44,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.00,-0.00,0.41,-0.00,0.17,1.81,0.31,0.50,4.60,2.12,0.50,3.76,1.88,0.50,0.39,0.18,0.33,0.39,0.13,0.00
0.00,0.46,45.06,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.00,0.00,0.00,-0.00,0.41,-0.00,0.28,1.00,0.28,0.50,6.02,2.78,0.50,3.83,1.91,0.50,0.39,0.18,0.22,0.39,0.09,0.00
0.02,0.43,52.13,1.16,0.00,0.00,0.00,0.13,0.48,0.06,0.00,0.00,0.00,0.00,0.43,0.00,0.00,0.40,0.00,0.50,3.39,1.56,0.50,3.17,1.58,0.35,0.39,0.12,0.50,0.34,0.17,0.00
0.24,0.37,51.94,11.56,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.40,0.00,0.50,2.79,1.29,0.50,3.28,1.64,0.26,0.39,0.09,0.00,0.18,0.00,0.00
0.00,0.10,23.54,0.00,0.00,0.00,0.00,0.50,0.38,0.17,0.00,0.00,0.00,0.00,0.35,0.00,0.04,0.39,0.01,0.50,3.83,1.77,0.50,4.62,2.31,0.00,0.37,0.00,0.46,0.27,0.13,0.00
0.00,0.10,0.23,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.50,2.57,1.29,0.50,1.71,0.79,0.50,4.82,2.41,0.22,0.13,0.03,-0.00,0.43,-0.00,0.00
0.00,0.10,-35.66,-0.00,0.00,0.00,0.00,0.31,0.38,0.11,0.00,0.00,0.00,0.00,0.34,0.00,0.50,2.74,1.37,0.50,6.58,3.03,0.50,5.30,2.65,0.19,0.37,0.07,-0.00,0.42,-0.00,0.00
-0.15,0.10,-55.17,8.28,0.00,0.00,0.00,0.39,0.39,0.14,0.00,0.00,0.00,0.00,0.33,0.00,0.35,3.55,1.24,0.50,8.84,4.07,0.50,4.72,2.36,0.11,0.33,0.03,0.00,0.36,0.00,0.00
-0.84,0.24,-59.30,49.87,0.00,0.00,0.00,0.50,0.39,0.18,0.00,0.00,0.00,0.00,0.36,0.00,0.00,5.57,0.00,0.50,7.68,3.54,0.16,6.14,0.98,0.00,0.36,0.00,0.00,0.44,0.00,0.00
-0.03,1.00,-24.86,0.79,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,-0.00,0.37,-0.00,0.47,2.58,1.21,0.50,8.55,3.94,0.50,4.91,2.45,0.50,0.37,0.17,0.00,0.42,0.00,0.00
0.00,1.00,30.04,0.00,0.00,0.00,0.00,0.31,0.37,0.11,0.00,0.00,0.00,0.00,0.29,0.00,0.50,1.56,0.78,0.50,12.30,5.67,0.50,3.32,1.66,0.19,0.29,0.05,-0.00,0.21,-0.00,0.00
0.00,1.00,35.01,0.00,0.00,0.00,0.00,0.07,0.38,0.03,0.00,0.00,0.00,0.43,0.37,0.15,0.50,1.77,0.88,0.50,6.39,2.95,0.50,3.13,1.57,0.00,0.34,0.00,-0.00,0.23,-0.00,0.00
0.00,1.00,38.42,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.00,0.00,-0.00,0.41,-0.00,0.50,0.79,0.39,0.50,10.93,5.04,0.50,3.77,1.88,0.50,0.39,0.18,-0.00,0.09,-0.00,0.00
0.00,0.97,35.60,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.00,0.00,0.50,0.48,0.22,0.50,0.62,0.31,0.50,9.19,4.24,0.50,5.03,2.51,0.00,0.39,0.00,-0.00,0.29,-0.00,0.00
-0.03,0.97,30.12,-0.91,0.00,0.00,0.00,0.19,0.40,0.07,0.00,0.00,0.00,0.31,0.41,0.12,0.47,0.39,0.18,0.50,5.50,2.53,0.50,3.72,1.86,0.00,0.38,0.00,0.00,0.20,0.00,0.00
0.00,1.00,35.85,0.00,0.00,0.00,0.00,0.31,0.42,0.12,0.00,0.00,0.00,0.00,0.39,0.00,0.50,0.39,0.20,0.50,3.58,1.65,0.50,3.77,1.88,0.19,0.38,0.07,0.00,0.14,0.00,0.00
0.00,1.00,72.31,0.00,0.00,0.00,0.00,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.58,0.00,0.00,0.35,0.00,0.50,3.74,1.72,0.50,2.74,1.37,0.50,0.39,0.18,0.00,0.06,0.00,0.00
0.00,0.95,74.98,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.00,0.00,0.00,-0.00,0.45,-0.00,0.00,0.13,0.00,0.50,3.94,1.82,0.50,1.65,0.82,0.50,0.38,0.18,0.00,0.01,0.00,0.00
0.00,0.90,59.47,0.00,0.00,0.00,0.00,0.50,0.39,0.18,0.00,0.00,0.00,-0.00,0.39,-0.00,0.00,0.30,0.00,0.50,4.91,2.26,0.50,2.10,1.05,0.00,0.38,0.00,0.00,0.04,0.00,0.00
0.00,0.89,60.08,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.20,0.39,0.07,0.00,0.34,0.00,0.50,5.41,2.49,0.50,1.95,0.97,0.30,0.38,0.10,0.00,0.07,0.00,0.00
0.00,0.85,94.27,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,-0.00,0.39,-0.00,0.00,0.14,0.00,0.50,4.01,1.85,0.00,0.91,0.00,0.50,0.38,0.18,0.00,0.01,0.00,0.00
0.00,0.79,85.01,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.00,0.00,-0.00,0.39,-0.00,0.00,0.39,0.00,0.50,5.89,2.72,0.50,2.44,1.22,0.50,0.35,0.16,0.00,0.32,0.00,0.00
0.00,0.74,66.52,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,-0.00,0.39,-0.00,0.00,0.41,0.00,0.50,10.62,4.89,0.50,2.00,1.00,0.50,0.36,0.17,0.50,0.41,0.20,0.00
0.00,0.69,59.09,0.00,0.00,0.00,0.00,0.50,0.40,0.18,0.00,0.00,0.00,-0.00,0.39,-0.00,-0.00,0.42,-0.00,0.50,6.69,3.08,0.50,2.16,1.08,0.00,0.38,0.00,0.50,0.39,0.19,0.00
0.00,0.69,59.47,0.00,0.00,0.00,0.00,0.50,0.39,0.18,0.00,0.00,0.00,-0.00,0.39,-0.00,-0.00,0.49,-0.00,0.50,7.04,3.25,0.50,2.46,1.23,0.00,0.38,0.00,0.50,0.39,0.19,0.00
0.00,0.69,64.49,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.00,0.00,-0.00,0.39,-0.00,0.50,1.82,0.91,0.50,6.21,2.86,0.50,3.08,1.54,0.50,0.38,0.18,-0.00,0.42,-0.00,0.00
0.00,0.66,95.38,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,-0.00,0.38,-0.00,0.00,0.32,0.00,0.50,3.73,1.72,0.50,2.79,1.40,0.50,0.38,0.18,0.00,0.10,0.00,0.00
0.00,0.61,83.28,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,-0.00,0.36,-0.00,0.00,0.34,0.00,0.50,4.55,2.10,0.50,2.99,1.49,0.50,0.30,0.14,0.00,0.17,0.00,0.00
0.00,0.56,89.50,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.00,-0.00,0.25,-0.00,0.01,0.89,0.01,0.50,4.22,1.95,0.50,6.39,3.19,0.50,0.27,0.12,0.49,0.25,0.12,0.00
0.00,0.51,92.84,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.00,-0.00,0.25,-0.00,0.14,1.39,0.19,0.50,3.55,1.64,0.50,2.88,1.44,0.50,0.26,0.12,0.36,0.30,0.11,0.00
0.23,0.47,110.27,23.61,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.00,0.46,0.00,0.50,7.69,3.54,0.50,3.53,1.77,0.27,0.25,0.06,0.00,0.22,0.00,0.00
0.00,0.21,94.19,0.00,0.00,0.00,0.00,0.26,0.39,0.09,0.00,0.00,0.00,0.24,0.48,0.11,0.00,0.36,0.00,0.50,9.69,4.47,0.50,2.16,1.08,0.00,0.27,0.00,0.50,0.23,0.11,0.00
0.00,0.20,44.95,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.50,0.33,0.15,0.50,2.26,1.13,0.50,9.07,4.18,0.50,3.23,1.61,0.00,0.29,0.00,-0.00,0.34,-0.00,0.00
-0.88,0.20,35.21,-31.02,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.00,2.38,0.00,0.50,9.52,4.39,0.12,3.90,0.46,0.00,0.32,0.00,0.00,0.36,0.00,0.00
0.00,1.00,41.21,0.00,0.00,0.00,0.00,0.07,0.35,0.02,0.00,0.00,0.00,0.43,0.38,0.15,0.50,1.30,0.65,0.50,10.38,4.78,0.50,3.49,1.75,0.00,0.34,0.00,-0.00,0.26,-0.00,0.00
0.00,1.00,60.12,0.00,0.00,0.00,0.00,0.07,0.38,0.03,0.00,0.00,0.00,0.43,0.35,0.14,0.50,1.94,0.97,0.50,16.12,7.43,0.50,2.94,1.47,0.00,0.31,0.00,-0.00,0.33,-0.00,0.00
0.00,1.00,72.18,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,-0.00,0.38,-0.00,0.00,0.78,0.00,0.50,15.64,7.21,0.50,2.17,1.08,0.50,0.36,0.17,0.50,0.22,0.11,0.00
0.00,0.95,78.75,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.00,0.00,0.00,-0.00,0.58,-0.00,0.00,0.72,0.00,0.50,6.99,3.22,0.50,2.59,1.29,0.50,0.37,0.17,0.00,0.12,0.00,0.00
0.00,0.90,74.05,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.00,0.00,0.00,-0.00,0.43,-0.00,0.00,0.27,0.00,0.50,3.63,1.67,0.50,2.24,1.12,0.50,0.37,0.17,0.00,0.03,0.00,0.00
0.00,0.85,113.15,0.00,0.00,0.00,0.00,0.50,4.51,2.08,0.00,0.00,0.00,0.00,1.08,0.00,0.00,0.02,0.00,0.00,3.44,0.00,0.50,1.75,0.87,0.50,0.60,0.27,0.00,0.00,0.00,0.00
0.69,0.81,124.09,78.78,0.00,0.00,0.00,0.00,2.82,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.02,0.00,0.00,3.14,0.00,0.50,2.22,1.11,0.31,0.56,0.16,0.00,0.01,0.00,0.00
0.00,0.10,91.38,0.00,0.00,0.00,0.00,0.50,0.45,0.21,0.00,0.00,0.00,0.00,0.38,0.00,0.13,0.09,0.01,0.50,4.30,1.98,0.50,3.18,1.59,0.00,0.38,0.00,0.00,0.01,0.00,0.00
0.00,0.10,74.05,0.00,0.00,0.00,0.00,0.50,0.39,0.18,0.00,0.00,0.00,0.00,0.38,0.00,0.13,0.09,0.01,0.50,5.52,2.54,0.50,1.78,0.89,0.00,0.38,0.00,0.00,0.01,0.00,0.00
0.00,0.10,61.79,0.00,0.00,0.00,0.00,0.50,0.38,0.18,0.00,0.00,0.00,0.00,0.36,0.00,0.13,0.15,0.02,0.50,4.71,2.17,0.50,2.56,1.28,0.00,0.39,0.00,0.00,0.02,0.00,0.00
0.00,0.10,68.91,0.00,0.00,0.00,0.00,0.50,0.39,0.18,0.00,0.00,0.00,0.00,0.42,0.00,0.04,0.18,0.01,0.50,4.79,2.21,0.50,1.12,0.56,0.00,0.39,0.00,0.46,0.06,0.03,0.00
0.00,0.10,52.83,0.00,0.00,0.00,0.00,0.50,0.39,0.18,0.00,0.00,0.00,-0.00,0.39,-0.00,0.04,0.55,0.02,0.50,8.85,4.08,0.50,3.20,1.60,0.00,0.39,0.00,0.46,0.43,0.20,0.00
0.00,0.10,50.33,0.00,0.00,0.00,0.00,0.31,0.43,0.12,0.00,0.00,0.00,0.00,0.40,0.00,0.50,1.77,0.88,0.50,12.53,5.77,0.50,3.25,1.63,0.19,0.39,0.07,-0.00,0.47,-0.00,0.00
0.00,0.10,46.66,0.00,0.00,0.00,0.00,0.07,0.42,0.03,0.00,0.00,0.00,0.43,0.44,0.17,0.50,1.01,0.51,0.50,7.12,3.28,0.50,3.45,1.73,0.00,0.39,0.00,-0.00,0.42,-0.00,0.00
0.00,0.10,47.71,0.00,0.00,0.00,0.00,0.07,0.45,0.03,0.00,0.00,0.00,0.43,0.44,0.17,0.50,0.79,0.40,0.50,5.77,2.66,0.50,3.62,1.81,0.00,0.39,0.00,-0.00,0.41,-0.00,0.00
0.00,0.10,49.29,0.00,0.00,0.00,0.00,0.07,0.51,0.03,0.00,0.00,0.00,0.43,0.58,0.23,0.50,0.77,0.38,0.50,5.21,2.40,0.50,3.11,1.55,0.00,0.45,0.00,-0.00,0.39,-0.00,0.00
-0.00,0.10,53.56,0.00,0.00,0.00,0.00,0.50,0.41,0.19,0.00,0.00,0.00,-0.00,0.45,-0.00,0.04,0.41,0.01,0.50,5.01,2.31,0.50,2.61,1.30,0.00,0.42,0.00,0.46,0.30,0.14,0.00
0.00,0.10,30.00,0.00,0.00,0.00,0.00,0.31,0.39,0.11,0.00,0.00,0.00,0.00,0.40,0.00,0.50,0.75,0.38,0.50,5.03,2.32,0.50,1.58,0.79,0.19,0.42,0.07,-0.00,0.24,-0.00,0.00
0.00,0.10,35.13,0.00,0.00,0.00,0.00,0.31,0.39,0.11,0.00,0.00,0.00,0.00,0.39,0.00,0.50,0.77,0.38,0.50,3.45,1.59,0.50,2.40,1.20,0.19,0.39,0.07,-0.00,0.27,-0.00,0.00
-0.00,0.10,40.32,0.00,0.00,0.00,0.00,0.31,0.38,0.11,0.00,0.00,0.00,0.00,0.34,0.00,0.50,1.21,0.60,0.50,5.38,2.48,0.50,2.11,1.05,0.19,0.40,0.07,-0.00,0.27,-0.00,0.00
0.00,0.10,27.52,0.00,0.00,0.00,0.00,0.07,0.39,0.03,0.00,0.00,0.00,0.43,0.40,0.16,0.50,4.15,2.07,0.50,3.76,1.73,0.50,2.44,1.22,0.00,0.39,0.00,-0.00,0.42,-0.00,0.00
0.00,0.10,-16.70,-0.00,0.00,0.00,0.00,0.31,0.39,0.11,0.00,0.00,0.00,0.00,0.38,0.00,0.50,8.40,4.20,0.50,6.51,3.00,0.50,4.09,2.04,0.19,0.38,0.07,0.00,0.70,0.00,0.00
0.00,0.10,-11.15,-0.00,0.00,0.00,0.00,0.07,0.39,0.03,0.00,0.00,0.00,0.43,0.38,0.15,0.50,9.08,4.54,0.50,5.64,2.60,0.50,3.45,1.72,0.00,0.37,0.00,-0.00,0.64,-0.00,0.00
-0.09,0.10,-34.33,2.93,0.00,0.00,0.00,0.12,0.38,0.04,0.00,0.00,0.00,0.38,0.38,0.13,0.50,3.30,1.65,0.50,7.33,3.38,0.41,3.25,1.35,0.00,0.35,0.00,0.00,0.54,0.00,0.00
-0.90,0.18,-43.04,38.71,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.10,2.31,0.23,0.50,8.80,4.06,0.00,2.44,0.00,0.00,0.34,0.00,0.00,0.38,0.00,0.00
-0.03,1.00,-32.65,1.01,0.00,0.00,0.00,-0.00,0.38,-0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.50,4.00,2.00,0.50,7.31,3.37,0.47,3.33,1.56,0.50,0.32,0.15,0.00,0.45,0.00,0.00
0.00,1.00,-9.39,-0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.00,-0.00,0.26,-0.00,0.50,2.68,1.34,0.50,8.66,3.99,0.50,3.33,1.67,0.50,0.32,0.15,-0.00,0.42,-0.00,0.00
-0.06,0.97,-12.33,0.79,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,-0.00,0.38,-0.00,0.44,1.32,0.58,0.50,6.66,3.07,0.50,4.37,2.18,0.50,0.38,0.18,0.00,0.23,0.00,0.00
0.00,1.00,22.19,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,-0.00,0.36,-0.00,0.00,0.19,0.00,0.50,5.21,2.40,0.50,3.06,1.53,0.50,0.38,0.18,0.00,0.03,0.00,0.00
0.00,0.95,58.48,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.50,0.50,0.23,0.00,0.11,0.00,0.00,1.71,0.00,0.50,2.70,1.35,0.50,0.38,0.17,0.00,0.01,0.00,0.00
0.07,0.89,62.36,4.24,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.07,0.00,0.43,1.82,0.72,0.50,1.87,0.93,0.50,0.39,0.18,0.00,0.01,0.00,0.00
0.00,0.76,56.52,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00,-0.00,0.43,-0.00,0.00,0.15,0.00,0.50,2.68,1.24,0.50,2.17,1.09,0.50,0.39,0.18,0.00,0.08,0.00,0.00
0.00,0.71,60.11,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.00,-0.00,0.47,-0.00,0.00,0.20,0.00,0.50,3.44,1.58,0.50,2.24,1.12,0.50,0.39,0.18,0.00,0.01,0.00,0.00
0.00,0.66,60.45,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,-0.00,0.40,-0.00,0.00,0.23,0.00,0.50,3.38,1.56,0.50,1.52,0.76,0.50,0.38,0.18,0.00,0.01,0.00,0.00
0.00,0.61,60.95,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.18,0.00,0.50,3.48,1.61,0.50,2.16,1.08,0.50,0.38,0.18,0.00,0.01,0.00,0.00
0.01,0.56,57.52,0.29,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.39,0.00,0.50,3.32,1.53,0.50,4.03,2.02,0.49,0.39,0.18,0.49,0.25,0.12,0.00
0.06,0.51,53.50,2.78,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.41,0.00,0.50,3.45,1.59,0.50,3.76,1.88,0.44,0.39,0.16,0.50,0.39,0.19,0.00
0.00,0.41,41.11,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,-0.00,0.38,-0.00,0.42,0.83,0.34,0.50,7.82,3.60,0.50,3.59,1.79,0.50,0.38,0.18,0.08,0.40,0.03,0.00
0.00,0.38,32.89,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,-0.00,0.39,-0.00,0.50,1.64,0.82,0.50,5.08,2.34,0.50,3.52,1.76,0.50,0.38,0.18,0.00,0.39,0.00,0.00
0.00,0.35,33.75,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.06,0.39,0.02,0.50,0.70,0.35,0.50,7.41,3.42,0.50,3.18,1.59,0.44,0.38,0.16,-0.00,0.39,-0.00,0.00
0.20,0.33,37.07,6.96,0.00,0.00,0.00,0.04,0.39,0.01,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.41,0.00,0.50,4.02,1.85,0.50,2.46,1.23,0.26,0.39,0.09,0.50,0.29,0.15,0.00
