BattSchedule_MW,SOC_percent,EnergyPriceDA_AUDperMWh,EnergyProfit_AUD,L1SCapacity,L1SPrice_AUDperMW,L1SRev_AUD,R6SCapacity,R6SPrice_AUDperMW,R6SRev_AUD,R1SCapacity,R1SPrice_AUDperMW,R1SRev_AUD,R60SCapacity,R60SPrice_AUDperMW,R60SRev_AUD,L60SCapacity,L60SPrice_AUDperMW,L60SRev_AUD,RREGCapacity,RREGPrice_AUDperMW,RREGRev_AUD,LREGCapacity,LREGPrice_AUDperMW,LREGRev_AUD,R5MCapacity,R5MPrice_AUDperMW,R5MRev_AUD,L6SCapacity,L6SPrice_AUDperMW,L6SRev_AUD,CapacityObligation
0.00,1.00,34.70,0.00,0.00,0.00,0.00,0.07,0.45,0.03,0.00,0.00,0.00,0.43,0.67,0.26,0.50,1.35,0.67,0.50,8.45,3.89,0.50,7.46,3.73,0.00,0.40,0.00,0.00,0.59,0.00,0.00
0.00,1.00,63.27,0.00,0.00,0.00,0.00,0.31,1.40,0.40,0.00,0.00,0.00,0.00,0.86,0.00,0.50,1.52,0.76,0.50,8.25,3.80,0.50,7.03,3.51,0.19,0.48,0.08,-0.00,0.34,-0.00,0.00
0.07,1.00,92.72,5.68,0.00,0.00,0.00,0.00,3.15,0.00,0.00,0.00,0.00,0.00,1.93,0.00,0.00,0.53,0.00,0.50,8.21,3.79,0.50,4.64,2.32,0.43,0.67,0.27,0.00,0.08,0.00,0.00
0.98,0.97,99.74,90.29,0.00,0.00,0.00,0.00,1.66,0.00,0.00,0.00,0.00,0.00,1.22,0.00,0.00,0.37,0.00,0.02,7.79,0.13,0.50,3.60,1.80,0.00,0.54,0.00,0.00,0.07,0.00,0.00
0.50,0.73,99.11,45.69,0.00,0.00,0.00,0.00,0.96,0.00,0.00,0.00,0.00,0.00,0.95,0.00,0.00,0.59,0.00,0.50,8.75,4.03,0.50,2.93,1.47,0.00,0.59,0.00,0.00,0.15,0.00,0.00
1.00,0.60,106.73,98.40,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,0.00,0.00,0.96,0.00,0.00,0.94,0.00,-0.00,8.29,-0.00,0.50,3.76,1.88,0.00,0.61,0.00,0.00,0.33,0.00,0.00
0.50,0.36,96.75,44.60,0.00,0.00,0.00,0.00,0.88,0.00,0.00,0.00,0.00,0.00,0.86,0.00,0.00,1.00,0.00,0.50,9.31,4.29,0.50,3.70,1.85,0.00,0.48,0.00,0.00,0.39,0.00,0.00
0.00,0.23,92.25,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.00,0.00,-0.00,0.86,-0.00,0.00,0.99,0.00,0.50,8.21,3.78,0.50,3.77,1.88,0.50,0.49,0.23,0.50,0.61,0.30,0.00
0.00,0.22,88.72,0.00,0.00,0.00,0.00,0.00,0.96,0.00,0.00,0.00,0.00,-0.00,0.86,-0.00,-0.00,1.92,-0.00,0.50,7.16,3.30,0.50,3.85,1.93,0.50,0.50,0.23,0.50,0.94,0.47,0.00
0.00,0.21,77.57,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.00,0.00,0.00,0.00,0.86,0.00,0.50,6.35,3.18,0.50,5.14,2.37,0.50,4.49,2.25,0.50,0.50,0.23,-0.00,2.37,-0.00,0.00
0.00,0.20,81.04,0.00,0.00,0.00,0.00,0.00,0.97,0.00,0.00,0.00,0.00,-0.00,0.90,-0.00,0.50,8.47,4.24,0.50,7.19,3.31,-0.00,4.33,-0.00,0.50,0.52,0.24,0.50,4.22,2.11,0.00
0.09,0.19,92.56,7.78,0.00,0.00,0.00,0.00,0.96,0.00,0.00,0.00,0.00,0.00,0.89,0.00,-0.00,2.34,-0.00,0.50,6.63,3.06,0.50,3.87,1.94,0.41,0.58,0.22,0.50,1.29,0.64,0.00
0.22,0.16,90.26,18.28,0.00,0.00,0.00,0.00,1.21,0.00,0.00,0.00,0.00,0.00,1.10,0.00,-0.00,1.26,-0.00,0.50,5.54,2.55,0.50,4.70,2.35,0.28,0.64,0.17,0.50,0.86,0.43,0.00
0.00,0.10,52.94,0.00,0.00,0.00,0.00,0.07,0.91,0.06,0.00,0.00,0.00,0.43,0.96,0.38,0.50,5.05,2.52,0.50,4.90,2.26,0.50,16.18,8.09,0.00,0.64,0.00,-0.00,2.06,-0.00,0.00
0.00,0.10,23.34,0.00,0.00,0.00,0.00,0.07,0.64,0.04,0.00,0.00,0.00,0.43,0.64,0.25,0.50,12.29,6.15,0.50,3.71,1.71,0.50,19.77,9.89,0.00,0.42,0.00,-0.00,4.89,-0.00,0.00
0.00,0.10,-3.23,-0.00,0.00,0.00,0.00,0.07,0.71,0.05,0.00,0.00,0.00,0.43,0.87,0.34,0.50,17.97,8.99,0.50,5.47,2.52,0.50,22.35,11.17,0.00,0.44,0.00,-0.00,6.34,-0.00,0.00
