BattSchedule_MW,SOC_percent,EnergyPriceDA_¥perMWh,EnergyProfit_¥,CapacityObligation
0.00,0.50,305.00,0.00,0.00
0.00,0.50,293.25,0.00,0.00
0.00,0.50,290.86,0.00,0.00
0.00,0.50,291.96,0.00,0.00
0.00,0.50,303.93,0.00,0.00
0.00,0.50,303.23,0.00,0.00
0.00,0.50,301.61,0.00,0.00
0.00,0.50,356.84,0.00,0.00
0.00,0.50,384.19,0.00,0.00
0.00,0.50,345.60,0.00,0.00
0.00,0.50,333.88,0.00,0.00
0.00,0.50,325.17,0.00,0.00
0.00,0.50,289.75,0.00,0.00
-0.08,0.50,281.32,-23.81,0.00
0.00,0.54,285.99,0.00,0.00
0.00,0.54,318.51,0.00,0.00
0.00,0.54,341.97,0.00,0.00
0.00,0.54,354.54,0.00,0.00
0.00,0.54,330.92,0.00,0.00
0.00,0.54,312.89,0.00,0.00
0.00,0.54,331.71,0.00,0.00
0.00,0.54,291.16,0.00,0.00
0.00,0.54,281.33,0.00,0.00
-1.00,0.54,278.32,-278.32,0.00
-0.00,1.00,403.25,0.00,0.00
0.00,1.00,397.25,0.00,0.00
0.00,1.00,397.06,0.00,0.00
0.00,1.00,395.08,0.00,0.00
0.00,1.00,394.40,0.00,0.00
0.00,1.00,391.00,0.00,0.00
-0.00,1.00,404.33,0.00,0.00
-0.00,1.00,494.15,0.00,0.00
1.00,1.00,679.23,626.21,0.00
0.00,0.50,431.00,0.00,0.00
0.00,0.50,418.03,0.00,0.00
0.00,0.50,413.40,0.00,0.00
-1.00,0.50,397.57,-397.57,0.00
-0.08,0.96,408.21,-34.56,0.00
0.00,1.00,413.19,0.00,0.00
0.00,1.00,593.52,0.00,0.00
1.00,1.00,841.27,775.62,0.00
0.80,0.50,774.77,571.45,0.00
0.00,0.10,501.76,0.00,0.00
0.00,0.10,510.36,0.00,0.00
-0.00,0.10,436.48,0.00,0.00
-0.00,0.10,405.47,0.00,0.00
-0.00,0.10,389.50,0.00,0.00
0.00,0.10,374.07,0.00,0.00
0.00,0.10,287.08,0.00,0.00
0.00,0.10,281.17,0.00,0.00
0.00,0.10,277.95,0.00,0.00
-1.00,0.10,275.10,-275.10,0.00
0.00,0.56,276.53,0.00,0.00
-0.95,0.56,276.38,-263.21,0.00
0.00,1.00,296.51,0.00,0.00
0.00,1.00,343.31,0.00,0.00
0.00,1.00,366.96,0.00,0.00
0.00,1.00,328.76,0.00,0.00
0.00,1.00,314.31,0.00,0.00
0.00,1.00,310.75,0.00,0.00
0.00,1.00,296.02,0.00,0.00
0.00,1.00,310.80,0.00,0.00
0.00,1.00,321.17,0.00,0.00
0.00,1.00,390.63,0.00,0.00
1.00,1.00,426.00,392.75,0.00
0.80,0.50,413.13,304.71,0.00
-0.00,0.10,381.29,0.00,0.00
-0.00,0.10,377.52,0.00,0.00
-0.00,0.10,351.23,0.00,0.00
-0.00,0.10,315.69,0.00,0.00
-0.00,0.10,289.98,0.00,0.00
-0.00,0.10,185.45,0.00,0.00
-1.00,0.10,-33.35,33.35,0.00
0.92,0.56,75.28,63.99,0.00
0.00,0.10,-51.50,-0.00,0.00
-0.95,0.10,-80.00,76.19,0.00
-1.00,0.54,-80.00,80.00,0.00
0.00,1.00,-80.00,-0.00,0.00
0.00,1.00,-52.00,-0.00,0.00
0.80,1.00,302.89,223.40,0.00
1.00,0.60,414.72,382.35,0.00
0.00,0.10,139.84,0.00,0.00
-0.95,0.10,-80.00,76.19,0.00
0.00,0.54,-56.25,-0.00,0.00
-1.00,0.54,-80.00,80.00,0.00
0.00,1.00,-51.50,-0.00,0.00
-0.00,1.00,288.08,0.00,0.00
-0.00,1.00,567.89,0.00,0.00
0.80,1.00,682.27,503.22,0.00
1.00,0.60,689.94,636.09,0.00
0.00,0.10,659.73,0.00,0.00
0.00,0.10,594.82,0.00,0.00
0.00,0.10,603.98,0.00,0.00
0.00,0.10,609.68,0.00,0.00
0.00,0.10,507.81,0.00,0.00
-0.00,0.10,476.47,0.00,0.00
0.00,0.10,356.20,0.00,0.00
0.00,0.10,353.03,0.00,0.00
-0.08,0.10,352.12,-29.81,0.00
0.00,0.14,352.15,0.00,0.00
0.00,0.14,353.00,0.00,0.00
0.00,0.14,352.62,0.00,0.00
0.00,0.14,367.75,0.00,0.00
0.00,0.14,397.81,0.00,0.00
0.00,0.14,411.38,0.00,0.00
0.00,0.14,382.06,0.00,0.00
0.00,0.14,370.57,0.00,0.00
0.00,0.14,357.79,0.00,0.00
-1.00,0.14,345.51,-345.51,0.00
0.00,0.60,353.75,0.00,0.00
0.00,0.60,362.51,0.00,0.00
0.00,0.60,410.45,0.00,0.00
0.00,0.60,472.73,0.00,0.00
1.00,0.60,523.55,482.69,0.00
0.00,0.10,425.71,0.00,0.00
-0.00,0.10,449.11,0.00,0.00
0.00,0.10,434.00,0.00,0.00
-0.00,0.10,407.13,0.00,0.00
-0.00,0.10,389.41,0.00,0.00
-0.00,0.10,380.63,0.00,0.00
0.00,0.10,325.99,0.00,0.00
0.00,0.10,321.06,0.00,0.00
0.00,0.10,310.96,0.00,0.00
0.00,0.10,301.81,0.00,0.00
0.00,0.10,294.88,0.00,0.00
0.00,0.10,286.90,0.00,0.00
0.00,0.10,292.79,0.00,0.00
0.00,0.10,342.00,0.00,0.00
0.00,0.10,350.49,0.00,0.00
